"tax_year","pin","min_bldg_sf","max_bldg_sf","bldg_sf_ratio","num_sharing_pin"
"2019","20084060050000",1220,1334,1.0934,2
"2019","12242240030000",672,735,1.0938,2
"2019","14064100530000",1289,1410,1.0939,2
"2019","13364180150000",747,818,1.095,2
"2019","15134270430000",743,814,1.0956,2
"2019","14294020190000",1608,1764,1.097,2
"2019","25023100330000",917,1006,1.0971,2
"2019","25023100320000",917,1006,1.0971,2
"2019","30083020260000",802,882,1.0998,2
"2019","30201160410000",969,1069,1.1032,2
"2019","17064260320000",1380,1524,1.1043,2
"2019","14201240250000",1554,1718,1.1055,2
"2019","29314010520000",972,1077,1.108,2
"2019","14322230270000",1591,1765,1.1094,2
"2019","17193080120000",720,800,1.1111,2
"2019","14314200350000",820,912,1.1122,2
"2019","11191220130000",1344,1496,1.1131,2
"2019","25021030220000",1344,1496,1.1131,2
"2019","21312120260000",1122,1250,1.1141,2
"2019","29084050140000",610,680,1.1148,2
"2019","26062150030000",940,1048,1.1149,2
"2019","29082200120000",860,960,1.1163,2
"2019","13233110170000",1760,1968,1.1182,2
"2019","19142030030000",676,756,1.1183,2
"2019","19142030040000",676,756,1.1183,2
"2019","16192130350000",929,1040,1.1195,2
"2019","16063200360000",767,859,1.1199,2
"2019","19122180200000",907,1016,1.1202,2
"2019","14193040220000",747,840,1.1245,2
"2019","26061290410000",1081,1216,1.1249,2
"2019","28103080120000",800,900,1.125,2
"2019","24081140160000",663,746,1.1252,2
"2019","29052010330000",714,805,1.1275,2
"2019","22291150160000",766,864,1.1279,2
"2019","13291270440000",720,814,1.1306,2
"2019","29182140060000",780,882,1.1308,2
"2019","30083080300000",1031,1166,1.1309,2
"2019","10201130510000",832,942,1.1322,2
"2019","17333240170000",653,740,1.1332,2
"2019","20064020300000",600,680,1.1333,2
"2019","25202000210000",500,567,1.134,2
"2019","19084150220000",1221,1386,1.1351,2
"2019","26053060040000",1253,1424,1.1365,2
"2019","16284170030000",615,700,1.1382,2
"2019","25023030050000",1197,1364,1.1395,2
"2019","14324120550000",1408,1606,1.1406,2
"2019","25312070380000",1408,1607,1.1413,2
"2019","25312070390000",1408,1607,1.1413,2
"2019","15101180060000",860,982,1.1419,2
"2019","20111080020000",1155,1320,1.1429,2
"2019","17283120460000",875,1000,1.1429,2
"2019","30182270190000",769,880,1.1443,2
"2019","16251010380000",1364,1562,1.1452,2
"2019","11191170210000",890,1020,1.1461,2
"2019","16312270160000",873,1001,1.1466,2
"2019","16312270150000",873,1001,1.1466,2
"2019","09161050010000",600,689,1.1483,2
"2019","20193320150000",980,1126,1.149,2
"2019","17194150040000",800,920,1.15,2
"2019","19202110180000",880,1012,1.15,2
"2019","32274030040000",2138,2459,1.1501,2
"2019","26321110330000",625,720,1.152,2
"2019","20363220300000",960,1107,1.1531,2
"2019","16284070310000",1566,1806,1.1533,2
"2019","17314270090000",520,600,1.1538,2
"2019","13243110250000",1012,1168,1.1542,2
"2019","29034020120000",1473,1701,1.1548,2
